古樹名錄
分級,樹齡,古樹編號,品種,樹高（米）,健康狀況,地點,堂區
一級,515,544,海南蒲桃,12,瀕危,澳門區觀音古廟,花地瑪堂區
二級,495,543,海南蒲桃,13,瀕危,澳門區觀音古廟,花地瑪堂區
二級,365,439,海南蒲桃,11,一般,澳門區白鴿巢公園,花王堂區
二級,335,323,樟樹,14,瀕危,澳門區松山市政公園,望德堂區
二級,315,756,樟樹,18,一般,澳門區澳門伊斯蘭清真寺及墳場,花地瑪堂區
二級,315,531,龍眼,5,瀕危,澳門區盧廉若公園,望德堂區
二級,315,981,桑,4,瀕危,澳門區聖地牙哥酒店,風順堂區
三級,295,467,楊桃,12,一般,澳門區白鴿巢公園,花王堂區
三級,295,542,雞蛋花,6,健康,澳門區觀音古廟,花地瑪堂區
三級,265,978,樟樹,15,一般,澳門區聖地牙哥酒店,風順堂區
三級,265,752,樟樹,15,一般,氹仔區益隆炮竹廠,嘉模堂區
三級,265,814,羅漢松,13,一般,澳門區白頭墳場,大堂區
三級,265,935,龍眼,13,一般,氹仔區菜園路,嘉模堂區
三級,265,980,樟樹,12,一般,澳門區聖地牙哥酒店,風順堂區
三級,265,456,海南蒲桃,11,一般,澳門區白鴿巢公園,花王堂區
三級,265,366,朴樹,15,健康,澳門區主教山小堂,風順堂區
三級,265,825,楊桃,9,健康,澳門區加思欄花園,大堂區
三級,265,813,榕樹,6,瀕危,澳門區天后古廟,花地瑪堂區
三級,245,819,樟樹,13,一般,澳門區家辣堂街,大堂區
三級,235,228,翻白葉樹,28,一般,澳門區青洲山,花地瑪堂區
三級,235,483,木棉,26,一般,澳門區白鴿巢公園,花王堂區
三級,235,528,木棉,26,一般,澳門區盧廉若公園,望德堂區
三級,235,537,樟樹,16,一般,澳門區肥利喇亞美打大馬路,望德堂區
三級,235,762,羅漢松,13,一般,澳門區澳門伊斯蘭清真寺及墳場,花地瑪堂區
三級,235,454,海南蒲桃,11,一般,澳門區白鴿巢公園,花王堂區
三級,235,443,破布木,22,健康,澳門區白鴿巢公園,花王堂區
三級,215,824,榕樹,25,一般,澳門區加思欄花園,大堂區
三級,215,359,樟樹,24,一般,澳門區松山市政公園,望德堂區
三級,215,717,高山榕,13,一般,澳門區普濟禪院（觀音堂）,花地瑪堂區
三級,215,816,樟樹,13,一般,澳門區仁慈堂婆仔屋,望德堂區
三級,215,817,樟樹,13,一般,澳門區仁慈堂婆仔屋,望德堂區
三級,215,23,菠蘿蜜,13,一般,路環區九澳村路,聖方濟各堂區
三級,215,356,海南蒲桃,12,一般,澳門區松山市政公園,望德堂區
三級,215,884,龍眼,10,一般,澳門區何東圖書館,風順堂區
